REF_DATE,CPI_All_Items
2023-01,156.8
2023-02,157.4
2023-03,158.5
2023-04,158.9
2023-05,159.8
2023-06,159.7
2023-07,161.1
2023-08,161.4
2023-09,161.3
2023-10,162.2
2023-11,162.3
2023-12,162.4
2024-01,162.0
2024-02,162.2
2024-03,163.4
2024-04,164.0
2024-05,165.3
2024-06,165.1
2024-07,166.1
2024-08,165.7
2024-09,165.2
2024-10,165.9
2024-11,166.0
2024-12,165.4
2025-01,165.0
2025-02,166.8
2025-03,167.0
2025-04,166.8
2025-05,168.1
2025-06,168.1
2025-07,168.6
2025-08,168.1
2025-09,168.1
2025-10,168.4
2025-11,168.6
2025-12,168.4
2026-01,167.7
2026-02,168.4
2026-03,169.7
2026-04,170.0
2026-05,171.7
