REF_DATE,Bank rate
2023-01,4.5
2023-02,4.75
2023-03,4.75
2023-04,4.75
2023-05,4.75
2023-06,5.0
2023-07,5.25
2023-08,5.25
2023-09,5.25
2023-10,5.25
2023-11,5.25
2023-12,5.25
2024-01,5.25
2024-02,5.25
2024-03,5.25
2024-04,5.25
2024-05,5.25
2024-06,5.0
2024-07,4.75
2024-08,4.75
2024-09,4.5
2024-10,4.0
2024-11,4.0
2024-12,3.5
2025-01,3.5
2025-02,3.25
2025-03,3.0
2025-04,3.0
2025-05,3.0
2025-06,3.0
2025-07,3.0
2025-08,3.0
2025-09,2.75
2025-10,2.75
2025-11,2.5
2025-12,2.5
2026-01,2.5
2026-02,2.5
2026-03,2.5
2026-04,2.5
2026-05,2.5
2026-06,2.5
