GEO,Age group,Statistics,Mortgage debt,Net worth (total assets less total debt),Non-mortgage debt,"Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",Tax Free Saving Accounts (TFSA)
Canada,35 to 44 years,Median value for those holding asset or debt,247000.0,409300.0,25000.0,33000.0,12000.0
Canada,35 to 44 years,Percentage holding asset or debt,58.5,100.0,69.1,64.6,52.8
Canada,45 to 54 years,Median value for those holding asset or debt,210500.0,675800.0,27000.0,72600.0,15000.0
Canada,45 to 54 years,Percentage holding asset or debt,58.0,100.0,69.5,69.6,50.2
Canada,55 to 64 years,Median value for those holding asset or debt,179000.0,873400.0,22000.0,120000.0,39100.0
Canada,55 to 64 years,Percentage holding asset or debt,38.5,100.0,57.6,70.0,56.2
Canada,65 years and older,Median value for those holding asset or debt,111000.0,738900.0,11100.0,102200.0,52100.0
Canada,65 years and older,Percentage holding asset or debt,15.9,100.0,37.7,64.7,57.7
Canada,Under 35 years,Median value for those holding asset or debt,232600.0,159100.0,25000.0,15000.0,10000.0
Canada,Under 35 years,Percentage holding asset or debt,38.1,100.0,69.8,54.7,55.6
Canada,Under 65 years,Median value for those holding asset or debt,220000.0,444600.0,25000.0,50000.0,16000.0
Canada,Under 65 years,Percentage holding asset or debt,47.9,100.0,66.5,64.5,53.8
"Toronto, Ontario",35 to 44 years,Median value for those holding asset or debt,486000.0,587100.0,25000.0,40000.0,14000.0
"Toronto, Ontario",35 to 44 years,Percentage holding asset or debt,58.3,100.0,71.2,64.3,59.4
"Toronto, Ontario",45 to 54 years,Median value for those holding asset or debt,400000.0,912300.0,28000.0,90000.0,21000.0
"Toronto, Ontario",45 to 54 years,Percentage holding asset or debt,54.2,100.0,69.8,64.8,52.1
"Toronto, Ontario",55 to 64 years,Median value for those holding asset or debt,320000.0,1175000.0,30000.0,150000.0,45000.0
"Toronto, Ontario",55 to 64 years,Percentage holding asset or debt,45.4,100.0,62.3,68.3,55.1
"Toronto, Ontario",65 years and older,Median value for those holding asset or debt,198000.0,1183500.0,9000.0,179000.0,65000.0
"Toronto, Ontario",65 years and older,Percentage holding asset or debt,16.3,100.0,34.6,67.1,58.8
"Toronto, Ontario",Under 35 years,Median value for those holding asset or debt,500000.0,237400.0,27500.0,22000.0,15000.0
"Toronto, Ontario",Under 35 years,Percentage holding asset or debt,28.8,100.0,62.7,57.4,57.5
"Toronto, Ontario",Under 65 years,Median value for those holding asset or debt,414000.0,606600.0,26700.0,52000.0,20000.0
"Toronto, Ontario",Under 65 years,Percentage holding asset or debt,46.1,100.0,66.4,63.5,56.2
