"REF_DATE","GEO","DGUID","Seasonality","Credit liabilities of households","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","90358","","","","0"
"2023-02","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","91538","","","","0"
"2023-03","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","91803","","","","0"
"2023-04","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","94455","","","","0"
"2023-05","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","96901","","","","0"
"2023-06","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","97850","","","","0"
"2023-07","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","99100","","","","0"
"2023-08","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","99971","","","","0"
"2023-09","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","101163","","","","0"
"2023-10","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","101287","","","","0"
"2023-11","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","104889","","","","0"
"2023-12","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","105179","","","","0"
"2024-01","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","101894","","","","0"
"2024-02","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","102762","","","","0"
"2024-03","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","103716","","","","0"
"2024-04","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","105390","","","","0"
"2024-05","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","106918","","","","0"
"2024-06","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","108359","","","","0"
"2024-07","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","108382","","","","0"
"2024-08","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","109536","","","","0"
"2024-09","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","110872","","","","0"
"2024-10","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","109976","","","","0"
"2024-11","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","112185","","","","0"
"2024-12","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","113356","","","","0"
"2025-01","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","108672","","","","0"
"2025-02","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","109001","","","","0"
"2025-03","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","110244","","","","0"
"2025-04","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","110995","","","","0"
"2025-05","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","112098","","","","0"
"2025-06","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","114489","","","","0"
"2025-07","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","113202","","","","0"
"2025-08","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","114582","","","","0"
"2025-09","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","116427","","","","0"
"2025-10","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","113969","","","","0"
"2025-11","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","116287","","","","0"
"2025-12","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","118241","","","","0"
"2026-01","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","113913","","","","0"
"2026-02","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","114402","","","","0"
"2026-03","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","114867","","","","0"
"2026-04","Canada","2016A000011124","Raw data","Credit cards","Dollars","81","millions","6","v1231415571","1.1.4","116555","","","","0"
