"REF_DATE","GEO","DGUID","Rates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","4.50","","","","2"
"2023-02","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","4.75","","","","2"
"2023-03","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","4.75","","","","2"
"2023-04","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","4.75","","","","2"
"2023-05","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","4.75","","","","2"
"2023-06","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.00","","","","2"
"2023-07","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.25","","","","2"
"2023-08","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.25","","","","2"
"2023-09","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.25","","","","2"
"2023-10","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.25","","","","2"
"2023-11","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.25","","","","2"
"2023-12","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.25","","","","2"
"2024-01","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.25","","","","2"
"2024-02","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.25","","","","2"
"2024-03","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.25","","","","2"
"2024-04","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.25","","","","2"
"2024-05","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.25","","","","2"
"2024-06","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","5.00","","","","2"
"2024-07","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","4.75","","","","2"
"2024-08","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","4.75","","","","2"
"2024-09","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","4.50","","","","2"
"2024-10","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","4.00","","","","2"
"2024-11","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","4.00","","","","2"
"2024-12","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","3.50","","","","2"
"2025-01","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","3.50","","","","2"
"2025-02","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","3.25","","","","2"
"2025-03","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","3.00","","","","2"
"2025-04","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","3.00","","","","2"
"2025-05","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","3.00","","","","2"
"2025-06","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","3.00","","","","2"
"2025-07","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","3.00","","","","2"
"2025-08","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","3.00","","","","2"
"2025-09","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","2.75","","","","2"
"2025-10","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","2.75","","","","2"
"2025-11","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","2.50","","","","2"
"2025-12","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","2.50","","","","2"
"2026-01","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","2.50","","","","2"
"2026-02","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","2.50","","","","2"
"2026-03","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","2.50","","","","2"
"2026-04","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","2.50","","","","2"
"2026-05","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","2.50","","","","2"
"2026-06","Canada","2021A000011124","Bank rate","Percent","239","units","0","v122530","1.2","2.50","","","","2"


